,nameLast,nameGiven,height-plus-weight
671,Baldwin,David George,274.0
672,Baldwin,Frank DeWitt,266.0
673,Baldwin,Howard Edward,231.0
674,Baldwin,Henry Clay,251.0
675,Baldwin,James,285.0
676,Baldwin,Jeffrey Allen,253.0
677,Baldwin,Clarence Geoghan,213.0
678,Baldwin,Charles B.,231.0
679,Baldwin,Marcus Elmore,262.0
680,Baldwin,Orson Frederick,
681,Baldwin,Reginald Conrad,268.0
682,Baldwin,Rickey Alan,255.0
683,Bale,John Robert,286.0
684,Balenti,Michael Richard,246.0
685,Balentien,Wladimir Ramon,294.0
686,Balester,Collin Thomas,266.0
687,Bales,Wesley Owen,235.0
688,Balfour,Grant Robert,274.0
689,Ballard,Jeffrey Scott,270.0
690,Ball,Arthur,
691,Baller,Jay Scott,293.0
692,Ballenger,Pelham Ashby,231.0
693,Ballinger,Mark Alan,283.0
694,Ball,Jeffery D.,255.0
695,Ball,James Chandler,246.0
696,Ball,Cornelius,212.0
697,Ballou,Noble Winfred,240.0
698,Balsamo,Anthony Fred,259.0
699,Bamberger,George Irvin,247.0
700,Bamberger,Harold Earl,245.0
701,Bancker,John V.,
702,Bancroft,David James,229.0
703,Bancroft,Frank Carter,
704,Bando,Christopher Michael,267.0
705,Bando,Salvatore Leonard,267.0
706,Bandy,Jett Adam,311.0
707,Bane,Edward Norman,229.0
708,Baney,Richard Lee,257.0
709,Banister,Jeffery Todd,274.0
710,Bankhead,Daniel Robert,257.0
711,Bankhead,Michael Scott,245.0
712,Yerrick,William John,221.0
713,Banks,Brian Glen,275.0
714,Banks,Ernest,253.0
715,Bankston,Wilborn Everett,251.0
716,Banks,George Edward,256.0
717,Banks,Joshua Charles,290.0
718,Bankston,Wesley Wade,291.0
719,Banks,Willie Anthony,263.0
720,Bannister,Alan,241.0
721,Bannister,Brian Patrick,276.0
722,Bannister,Floyd Franklin,263.0
723,Banning,James M.,216.0
724,Bannon,James Henry,225.0
725,Bannon,Thomas Edward,243.0
726,Banta,Jackie Kay,249.0
727,Bantz,Brandon,278.0
728,Banuelos,Manuel,285.0
729,Baptist,Travis Steven,267.0
730,Barajas,Rodrigo Richard,324.0
731,Barbato,John Edward,308.0
732,Barbary,Donald Odell,265.0
733,Barbare,Walter Lawrence,234.0
734,Barberie,Bret Edward,256.0
